"company","percentage_laid_off"
"NAVI","0.25"
"AVAST","0.25"
"BVACCEL","0.25"
"WEEDMAPS","0.25"
"CLEARCO","0.25"
"SAFEGRAPH","0.25"
"AYA","0.25"
"STYTCH","0.25"
"THE PREDICTIVE INDEX","0.25"
"CAPITOLIS","0.25"
"HIGHSNOBIETY","0.25"
"USERMIND","0.25"
"STORYBLOCKS","0.25"
"KONTIST","0.25"
"NOTARIZE","0.25"
"RIGUP","0.25"
"HYPERSCIENCE","0.25"
"ELECTRIC","0.25"
"LADDER LIFE","0.25"
"TOMORROW","0.25"
"MEDIUM","0.25"
"ONETRUST","0.25"
"MIGO","0.25"
"PAYJOY","0.25"
"POCKET ACES","0.25"
"CAPITOLIS","0.25"
"SHARECHAT","0.25"
"PECAN AI","0.25"
"MOVIDESK","0.25"
"LIGHTICO","0.25"
"EQUITYBEE","0.25"
"APOLLO INSURANCE","0.25"
"PARSABLE","0.25"
"BM TECHNOLOGIES","0.25"
"EASYPOST","0.25"
"AMOUNT","0.25"
"DOMINO DATA LAB","0.25"
"5B SOLAR","0.25"
"POLICYGENIUS","0.25"
"STARRY","0.24"
"TONKEAN","0.23"
"KARBON","0.23"
"SPRINGBIG","0.23"
"LOKALISE","0.23"
"ADA SUPPORT","0.23"
"APPGATE","0.22"
"VERIFF","0.21"
"LACEWORK","0.20"
"PARTNERSTACK","0.20"
"ASTRONOMER","0.20"
"SENDY","0.20"
"SHIPPO","0.20"
"FINITE STATE","0.20"
"FLEXPORT","0.20"
"SCALE AI","0.20"
"IRONNET","0.17"
"OWNBACKUP","0.17"
"CYBEREASON","0.17"
"ERMETIC","0.17"
"INTROHIVE","0.16"
"PIPEDRIVE","0.15"
